Sitio,id_plant,perimetro (m),observacion clinometro (%),observacion 2 clinometro (%),observacion clinometro (?),observacion 2 clinometro (?),observacion clinometro (rad),observacion clinometro2 (rad),distancia al arbol (m),altura a los ojos (m),altura (m),observaciones
itu,1,2.7,105,,46.40,,0.81,,20,1.61,22.61,
itu,2,3.54,125,,51.34,,0.90,,20,1.61,26.61,
itu,3,2.76,105,,46.40,,0.81,,20,1.61,22.61,
itu,4,2.82,110,,47.73,,0.83,,20,1.61,23.61,
itu,5,2.88,150,,56.31,,0.98,,20,1.61,31.61,
itu,6,2.86,140,,54.46,,0.95,,20,1.61,29.61,
art,1,2.3,10,140,5.71,54.46,0.10,0.95,20,1.61,26.00,
art,2,1.8,138,,54.07,,0.94,,20,1.61,29.21,
art,3,2.65,14,200,7.97,63.44,0.14,1.11,20,1.61,37.21,
art,6,2,14,200,7.97,63.44,0.14,1.11,20,1.61,37.21,
art,4,2.8,150,,56.31,,0.98,,20,1.61,31.61,
ber,1,2.76,28,67,15.64,33.82,0.27,0.59,20,1.61,19.00,
ber,2,3.7,35,50,19.29,26.57,0.34,0.46,20,1.61,17.00,
ber,3,2.9,32,50,17.74,26.57,0.31,0.46,20,1.61,16.40,
ber,4,3.5,15,150,8.53,56.31,0.15,0.98,20,1.61,27.00,
ber,5,5.5,24,160,13.50,58,0.24,1.01,20,1.61,27.21,
ber,6,4.1,15,135,8.53,53.47,0.15,0.93,20,1.61,24.00,
diu,1,2.2,33,123,18.26,50.89,0.32,0.89,20,1.61,31.20,
diu,2,1.75,35,105,19.29,46.40,0.34,0.81,20,1.61,28.00,
diu,3,1.58,29,74,16.17,36.5,0.28,0.64,20,1.61,20.60,
diu,4,1.43,10,120,5.71,50.19,0.10,0.88,20,1.61,26.00,
diu,5,1.85,10,138,5.71,54.07,0.10,0.94,20,1.61,29.60,
diu,6,1.6,0,150,0.00,56.31,0.00,0.98,20,1.61,30.00,
