site,tree,dbh_cm,h_m
ART,ART1,73.21127382,25.99780986
ART,ART2,57.29577951,29.20848177
ART,ART3,84.35211984,37.20867886
ART,ART4,89.12676813,31.61007661
ART,ART5,NA,NA
ART,ART6,63.66197724,37.20867886
BER,BER1,87.85352859,7.799791033
BER,BER2,117.7746579,3.002177535
BER,BER3,92.30986699,3.603957067
BER,BER4,111.4084602,27.00034987
BER,BER5,175.0704374,27.2051154
BER,BER6,130.5070533,23.99914555
DIU,DIU1,70.02817496,18.00233902
DIU,DIU2,55.70423008,14.00003203
DIU,DIU3,50.29296202,9.000038511
DIU,DIU4,45.51831372,21.99643727
DIU,DIU5,58.88732894,25.59869089
DIU,DIU6,50.92958179,31.61007661
HMO,HMO1,NA,NA
HMO,HMO2,NA,NA
HMO,HMO3,NA,NA
HMO,HMO4,NA,NA
HMO,HMO5,NA,NA
ITU,ITU1,1435864.066,22.61001392
ITU,ITU2,112.6816997,26.60982849
ITU,ITU3,87.85352859,22.61001392
ITU,ITU4,89.7633879,23.61284603
ITU,ITU5,91.67324722,31.61007661
ITU,ITU6,91.03662745,29.60760075
MSA,MSA1,69.0732453,19.2113768
MSA,MSA2,58.56901906,17.9506854
MSA,MSA3,68.75493542,16.4092215
MSA,MSA4,61.11549815,17.61583528
MSA,MSA5,64.6169069,21.20912791
MSA,MSA6,77.34930234,17.61583528
MSA,MSA7,41.3802852,10.00901213
HMO,HMO1,NA,NA
HMO,HMO2,NA,NA
HMO,HMO3,NA,NA
HMO,HMO4,NA,NA
HMO,HMO5,NA,NA
