date,site,id_plant,sampled,extraction
20240122,art,1,,
20240122,art,2,,
20240122,art,3,,
20240122,art,4,,
20240122,art,5,,
20240122,ber,1,,
20240122,ber,2,,
20240122,ber,3,,
20240122,ber,4,,
20240122,ber,5,,
20240122,ber,6,,
20240123,ms,1,,
20240123,ms,2,,
20240123,ms,3,,
20240123,ms,4,,
20240123,ms,5,,
20240123,ms,6,,
20240123,itu,1,,
20240123,itu,2,,
20240123,itu,3,,
20240123,itu,4,,
20240123,itu,5,,
20240123,itu,6,,
20240124,diu,1,,
20240124,diu,2,,
20240124,diu,3,,
20240124,diu,4,,
20240124,diu,5,,
20240124,diu,6,,
20240205,msi,1,,
20240205,msi,2,,
20240205,msi,3,,
20240205,msi,4,,
20240205,msi,5,,
