site,season,id_plant,light_exposure,leaf_area_unit
ms,spring,1,sun,5.005
ms,spring,1,sun,4.472
ms,spring,1,sun,5.372
ms,spring,1,sun,5.775
ms,spring,1,sun,4.077
ms,spring,2,sun,12.706
ms,spring,2,sun,14.973
ms,spring,2,sun,11.9
ms,spring,2,sun,11.748
ms,spring,2,sun,11.661
ms,spring,3,sun,7.837
ms,spring,3,sun,4.044
ms,spring,3,sun,6.885
ms,spring,3,sun,6.009
ms,spring,3,sun,5.116
ms,spring,4,sun,5.41
ms,spring,4,sun,3.995
ms,spring,4,sun,5.719
ms,spring,4,sun,3.972
ms,spring,4,sun,4.514
ms,spring,5,sun,4.721
ms,spring,5,sun,6.162
ms,spring,5,sun,4.339
ms,spring,5,sun,5.047
ms,spring,5,sun,4.926
ms,spring,6,sun,6.908
ms,spring,6,sun,6.566
ms,spring,6,sun,6.233
ms,spring,6,sun,7.779
ms,spring,6,sun,6.409
ms,spring,1,shade,5.971
ms,spring,1,shade,6.903
ms,spring,1,shade,4.696
ms,spring,1,shade,5.73
ms,spring,1,shade,4.424
ms,spring,2,shade,20.023
ms,spring,2,shade,23.887
ms,spring,2,shade,19.877
ms,spring,2,shade,15.792
ms,spring,2,shade,20.164
ms,spring,3,shade,5.977
ms,spring,3,shade,4.282
ms,spring,3,shade,4.555
ms,spring,3,shade,4.17
ms,spring,3,shade,7.306
ms,spring,4,shade,4.476
ms,spring,4,shade,4.705
ms,spring,4,shade,4.267
ms,spring,4,shade,3.23
ms,spring,4,shade,3.957
ms,spring,5,shade,7.951
ms,spring,5,shade,5.434
ms,spring,5,shade,5.761
ms,spring,5,shade,9.433
ms,spring,5,shade,6.7
ms,spring,6,shade,7.411
ms,spring,6,shade,5.094
ms,spring,6,shade,6.095
ms,spring,6,shade,5.409
ms,spring,6,shade,7.003
ms,spring,1,shade_low,8.624
ms,spring,1,shade_low,5.102
ms,spring,1,shade_low,9.102
ms,spring,1,shade_low,7.511
ms,spring,1,shade_low,6.857
ms,spring,2,shade_low,8.422
ms,spring,2,shade_low,9.215
ms,spring,2,shade_low,9.454
ms,spring,2,shade_low,13.344
ms,spring,2,shade_low,10.906
ms,spring,3,shade_low,9.69
ms,spring,3,shade_low,9.443
ms,spring,3,shade_low,9.164
ms,spring,3,shade_low,11.887
ms,spring,3,shade_low,5.927
ms,spring,4,shade_low,4.046
ms,spring,4,shade_low,4.355
ms,spring,4,shade_low,4.932
ms,spring,4,shade_low,3.506
ms,spring,4,shade_low,3.273
ms,spring,5,shade_low,7.337
ms,spring,5,shade_low,6.023
ms,spring,5,shade_low,6.963
ms,spring,5,shade_low,6.06
ms,spring,5,shade_low,6.782
ms,spring,6,shade_low,7.77
ms,spring,6,shade_low,6.379
ms,spring,6,shade_low,7.375
ms,spring,6,shade_low,6.414
ms,spring,6,shade_low,7.182
ms,summer,1,sun,8.843
ms,summer,1,sun,8.334
ms,summer,1,sun,8.013
ms,summer,1,sun,9.405
ms,summer,1,sun,8.613
ms,summer,2,sun,11.636
ms,summer,2,sun,10.166
ms,summer,2,sun,12.784
ms,summer,2,sun,12.858
ms,summer,2,sun,12.168
ms,summer,3,sun,4.777
ms,summer,3,sun,3.51
ms,summer,3,sun,5.664
ms,summer,3,sun,6.102
ms,summer,3,sun,3.607
ms,summer,4,sun,9999
ms,summer,4,sun,9999
ms,summer,4,sun,9999
ms,summer,4,sun,9999
ms,summer,4,sun,9999
ms,summer,5,sun,4.465
ms,summer,5,sun,3.954
ms,summer,5,sun,3.867
ms,summer,5,sun,4.933
ms,summer,5,sun,3.314
ms,summer,6,sun,8.841
ms,summer,6,sun,8.98
ms,summer,6,sun,7.23
ms,summer,6,sun,8.317
ms,summer,6,sun,7.797
ms,summer,1,shade,11.004
ms,summer,1,shade,12.065
ms,summer,1,shade,9.346
ms,summer,1,shade,11.924
ms,summer,1,shade,11.757
ms,summer,2,shade,18.797
ms,summer,2,shade,17.255
ms,summer,2,shade,29.543
ms,summer,2,shade,26.085
ms,summer,2,shade,21.204
ms,summer,3,shade,3.204
ms,summer,3,shade,5.153
ms,summer,3,shade,4.566
ms,summer,3,shade,2.34
ms,summer,3,shade,2.721
ms,summer,4,shade,9999
ms,summer,4,shade,9999
ms,summer,4,shade,9999
ms,summer,4,shade,9999
ms,summer,4,shade,9999
ms,summer,5,shade,7.296
ms,summer,5,shade,5.953
ms,summer,5,shade,7.261
ms,summer,5,shade,8.064
ms,summer,5,shade,7.612
ms,summer,6,shade,6.119
ms,summer,6,shade,5.029
ms,summer,6,shade,4.663
ms,summer,6,shade,4.818
ms,summer,6,shade,5.382
ms,summer,1,shade_low,10.94
ms,summer,1,shade_low,7.498
ms,summer,1,shade_low,9.254
ms,summer,1,shade_low,8.171
ms,summer,1,shade_low,7.448
ms,summer,2,shade_low,14.245
ms,summer,2,shade_low,11.695
ms,summer,2,shade_low,13.323
ms,summer,2,shade_low,15.35
ms,summer,2,shade_low,16.022
ms,summer,3,shade_low,9.17
ms,summer,3,shade_low,8.997
ms,summer,3,shade_low,12.147
ms,summer,3,shade_low,8.286
ms,summer,3,shade_low,7.355
ms,summer,4,shade_low,9999
ms,summer,4,shade_low,9999
ms,summer,4,shade_low,9999
ms,summer,4,shade_low,9999
ms,summer,4,shade_low,9999
ms,summer,5,shade_low,9.93
ms,summer,5,shade_low,10.096
ms,summer,5,shade_low,9.404
ms,summer,5,shade_low,7.757
ms,summer,5,shade_low,9.231
ms,summer,6,shade_low,9.032
ms,summer,6,shade_low,7.077
ms,summer,6,shade_low,6.918
ms,summer,6,shade_low,7.057
ms,summer,6,shade_low,6.423
