"","id_comb","site","season","id_plant","light_exposure","fw_l_lma","dw_l_lma","tla_suma","SLA"
"1","1_spring_art","art","spring",1,"shade_low",0.458,0.192,70.305,366.171875
"2","2_spring_art","art","spring",2,"shade_low",0.863,0.338,108.656,321.467455621302
"3","3_spring_art","art","spring",3,"shade_low",0.662,0.272,88.205,324.283088235294
"4","4_spring_art","art","spring",4,"shade_low",0.945,0.378,90.291,238.865079365079
"5","5_spring_art","art","spring",5,"shade_low",0.603,0.26,89.108,342.723076923077
"6","1_spring_ber","ber","spring",1,"shade_low",0.533,0.244,81.611,334.47131147541
"7","2_spring_ber","ber","spring",2,"shade_low",0.774,0.388,109.015,280.966494845361
"8","3_spring_ber","ber","spring",3,"shade_low",0.574,0.279,80.153,287.286738351254
"9","4_spring_ber","ber","spring",4,"shade_low",1.114,0.527,167.416,317.677419354839
"10","5_spring_ber","ber","spring",5,"shade_low",1.147,0.509,171.661,337.251473477407
"11","6_spring_ber","ber","spring",6,"shade_low",0.665,0.298,123.257,413.614093959732
"12","1_spring_itu","itu","spring",1,"shade_low",0.765,0.265,119.092,449.403773584906
"13","2_spring_itu","itu","spring",2,"shade_low",0.922,0.316,142.969,452.433544303797
"14","3_spring_itu","itu","spring",3,"shade_low",0.617,0.227,101.891,448.859030837004
"15","4_spring_itu","itu","spring",4,"shade_low",0.783,0.256,119.328,466.125
"16","5_spring_itu","itu","spring",5,"shade_low",1.43,0.513,248.341,484.095516569201
"17","6_spring_itu","itu","spring",6,"shade_low",0.752,0.267,139.673,523.119850187266
"18","1_spring_diu","diu","spring",1,"shade_low",0.573,0.214,87.265,407.780373831776
"19","2_spring_diu","diu","spring",2,"shade_low",1.44,0.646,151.972,235.250773993808
"20","3_spring_diu","diu","spring",3,"shade_low",0.571,0.287,72.188,251.526132404181
"21","4_spring_diu","diu","spring",4,"shade_low",0.553,0.247,91.581,370.773279352227
"22","5_spring_diu","diu","spring",5,"shade_low",0.486,0.21,75.242,358.295238095238
"23","6_spring_diu","diu","spring",6,"shade_low",0.698,0.3,107.727,359.09
"24","1_summer_art","art","summer",1,"shade_low",0.473,0.187,72.903,389.855614973262
"25","2_summer_art","art","summer",2,"shade_low",0.81,0.386,95.253,246.769430051813
"26","3_summer_art","art","summer",3,"shade_low",0.869,0.381,106.396,279.254593175853
"27","4_summer_art","art","summer",4,"shade_low",0.717,0.327,101.07,309.082568807339
"28","1_summer_ber","ber","summer",1,"shade_low",0.713,0.342,100.872,294.947368421053
"29","2_summer_ber","ber","summer",2,"shade_low",0.673,0.315,99.727,316.593650793651
"30","3_summer_ber","ber","summer",3,"shade_low",0.838,0.452,106.384,235.362831858407
"31","4_summer_ber","ber","summer",4,"shade_low",0.682,0.351,105.363,300.179487179487
"32","5_summer_ber","ber","summer",5,"shade_low",0.91,0.432,136.231,315.349537037037
"33","6_summer_ber","ber","summer",6,"shade_low",0.848,0.412,113.87,276.383495145631
"34","1_summer_itu","itu","summer",1,"shade_low",0.591,0.227,102.546,451.744493392071
"35","2_summer_itu","itu","summer",2,"shade_low",0.688,0.264,107.022,405.386363636364
"36","3_summer_itu","itu","summer",3,"shade_low",0.688,0.285,104.171,365.512280701754
"37","4_summer_itu","itu","summer",4,"shade_low",0.943,0.299,151.284,505.966555183946
"38","5_summer_itu","itu","summer",5,"shade_low",0.896,0.397,134.302,338.292191435768
"39","6_summer_itu","itu","summer",6,"shade_low",0.705,0.318,114.231,359.216981132075
"40","1_summer_diu","diu","summer",1,"shade_low",0.629,0.277,74.673,269.57761732852
"41","2_summer_diu","diu","summer",2,"shade_low",1.222,0.584,108.984,186.616438356164
"42","3_summer_diu","diu","summer",3,"shade_low",0.577,0.252,81.253,322.43253968254
"43","4_summer_diu","diu","summer",4,"shade_low",0.556,0.235,84.618,360.076595744681
"44","5_summer_diu","diu","summer",5,"shade_low",0.452,0.234,68.247,291.653846153846
"45","6_summer_diu","diu","summer",6,"shade_low",0.473,0.246,77.865,316.524390243902
