site,date,season,bag weight_g,fw_g,dw_g,water_weight_g,gwc,bulk_dens,vwc,swc,swp
ms,20230601,spring,3.69,183.66,138.15,45.51,0.25,1.011197,1.011197,32.94,
ms,20230804,summer,3.63,283.17,231.72,51.45,0.18,1.011197,1.011197,22.20,
ms,20230904,late_summer,3.59,357.71,263.33,94.38,0.26,1.011197,1.011197,35.84,
art,20230607,spring,3.61,305.20,234.99,70.21,0.23,1.011197,1.011197,29.88,
art,20230831,summer,3.63,681.56,509.46,172.10,0.25,1.011197,1.011197,33.78,
ber,20230608,spring,3.61,366.20,297.07,69.13,0.19,1.011197,1.011197,23.27,
ber,20230830,summer,,,,,,,,,
itu,20230606,spring,3.64,297.78,260.39,37.39,0.13,1.011197,1.011197,14.36,
itu,20230829,summer,3.63,437.69,386.10,51.59,0.12,1.011197,1.011197,13.36,
diu,20230615,spring,3.61,530.43,423.65,106.78,0.20,1.011197,1.011197,25.20,
diu,20230901,summer,3.62,274.12,247.62,26.50,0.10,1.011197,1.011197,10.70,
