date,site,season,id_plant,light_exposure,length_wd_cm,diameter_wd_cm,fw_wd_g,dw_wd_g,vol muestra (g),densidad (g/cm3)
20230607,art,spring,1,shl,6.74,0.55,1.70,1.05,1.60,0.66
20230607,art,spring,2,shl,7.10,0.42,1.26,0.70,0.98,0.71
20230607,art,spring,3,shl,6.36,0.50,1.27,0.76,1.25,0.61
20230607,art,spring,4,shl,6.27,0.49,1.36,0.79,1.18,0.67
20230607,art,spring,5,shl,6.85,0.53,2.12,1.30,1.51,0.86
20230608,ber,spring,1,shl,6.45,0.63,1.94,1.19,2.01,0.59
20230608,ber,spring,2,shl,7.12,0.44,1.19,0.77,1.08,0.71
20230608,ber,spring,3,shl,6.14,0.80,2.87,1.75,3.09,0.57
20230608,ber,spring,4,shl,7.10,0.40,1.14,0.69,0.89,0.77
20230608,ber,spring,5,shl,7.49,0.50,1.56,0.99,1.47,0.67
20230608,ber,spring,6,shl,6.85,0.50,1.31,0.83,1.34,0.61
20230606,itu,spring,1,shl,5.57,0.64,1.85,1.07,1.79,0.60
20230606,itu,spring,2,shl,6.95,0.42,1.36,0.77,0.96,0.80
20230606,itu,spring,3,shl,7.09,0.56,1.96,1.12,1.75,0.64
20230606,itu,spring,4,shl,6.23,0.51,1.29,0.74,1.27,0.58
20230606,itu,spring,5,shl,6.51,0.50,1.00,0.54,1.28,0.42
20230606,itu,spring,6,shl,6.90,0.43,1.05,0.53,1.00,0.53
20230615,diu,spring,1,shl,7.50,0.42,1.07,0.58,1.04,0.56
20230615,diu,spring,2,shl,6.50,0.46,1.27,0.77,1.08,0.71
20230615,diu,spring,3,shl,7.17,0.54,1.95,1.18,1.64,0.72
20230615,diu,spring,4,shl,6.74,0.48,1.30,0.78,1.22,0.64
20230615,diu,spring,5,shl,7.27,0.61,2.53,1.51,2.12,0.71
20230615,diu,spring,6,shl,6.87,0.67,2.34,1.42,2.42,0.59
20230831,art,summer,1,shl,7.11,0.44,1.30,0.79,1.08,0.73
20230831,art,summer,2,shl,5.00,0.35,0.85,0.52,0.48,1.09
20230831,art,summer,3,shl,4.70,0.40,1.18,0.67,0.59,1.14
20230831,art,summer,3*,shl,7.80,0.49,2.14,1.24,1.47,0.85
20230831,art,summer,5,shl,5.72,0.41,1.35,0.80,0.76,1.06
20230830,ber,summer,1,shl,4.55,0.68,1.86,1.09,1.65,0.66
20230830,ber,summer,2,shl,5.79,0.58,1.54,0.98,1.53,0.64
20230830,ber,summer,3,shl,5.50,0.30,0.61,0.39,0.39,1.00
20230830,ber,summer,4,shl,5.39,0.47,0.99,0.62,0.94,0.67
20230830,ber,summer,5,shl,6.65,0.30,0.73,0.45,0.47,0.97
20230830,ber,summer,6,shl,5.90,0.39,,0.60,0.70,0.85
20230829,itu,summer,1,shl,6.45,0.46,1.61,0.93,1.07,0.87
20230829,itu,summer,2,shl,7.86,0.38,0.98,0.56,0.89,0.63
20230829,itu,summer,3,shl,7.42,0.38,1.13,0.65,0.84,0.78
20230829,itu,summer,4,shl,6.19,0.50,1.55,0.86,1.22,0.70
20230829,itu,summer,5,shl,5.97,0.49,1.12,0.68,1.13,0.60
20230829,itu,summer,6,shl,5.73,0.45,1.00,0.61,0.91,0.66
20230901,diu,summer,1,shl,4.65,0.45,0.98,0.55,0.74,0.75
20230901,diu,summer,2,shl,4.26,0.52,1.09,0.68,0.90,0.75
20230901,diu,summer,3,shl,5.55,0.37,1.03,0.72,0.60,1.20
20230901,diu,summer,4,shl,6.10,0.45,1.80,1.07,0.97,1.10
20230901,diu,summer,5,shl,4.10,0.45,1.12,0.69,0.65,1.05
20230901,diu,summer,6,shl,5.49,0.30,0.86,0.53,0.39,1.37
