sampling_date,site,campaign,tree,canopy_position,wp_midday_1,wp_midday_2
20230606,ITU,spring23,ITU1,shade low,-1.35,-1.391
20230606,ITU,spring23,ITU2,shade low,-0.93,-0.986
20230606,ITU,spring23,ITU3,shade low,-1.134,-1.214
20230606,ITU,spring23,ITU4,shade low,-0.947,-0.98
20230606,ITU,spring23,ITU5,shade low,-1.086,-0.992
20230606,ITU,spring23,ITU6,shade low,-1.01,-0.9
20230607,ART,spring23,ART1,shade low,-1.506,-1.612
20230607,ART,spring23,ART2,shade low,-1.45,-1.513
20230607,ART,spring23,ART3,shade low,-1.701,-1.655
20230607,ART,spring23,ART4,shade low,-1.882,-1.758
20230607,ART,spring23,ART5,shade low,-1.455,-1.529
20230608,BER,spring23,BER1,shade low,-2.184,-2.196
20230608,BER,spring23,BER2,shade low,-1.976,-1.901
20230608,BER,spring23,BER3,shade low,-1.95,-2.09
20230608,BER,spring23,BER4,shade low,-1.608,-1.93
20230608,BER,spring23,BER5,shade low,-1.806,-1.732
20230608,BER,spring23,BER6,shade low,-1.726,-1.771
20230615,DIU,spring23,DIU1,shade low,-1.398,-1.466
20230615,DIU,spring23,DIU2,shade low,-1.701,-1.746
20230615,DIU,spring23,DIU3,shade low,-1.816,-1.876
20230615,DIU,spring23,DIU4,shade low,-1.75,-1.405
20230615,DIU,spring23,DIU5,shade low,-1.585,-1.446
20230615,DIU,spring23,DIU6,shade low,-1.524,-1.629
20230829,ITU,summer23,ITU1,shade low,-1.472,-1.55
20230829,ITU,summer23,ITU2,shade low,-1.508,-1.358
20230829,ITU,summer23,ITU3,shade low,-1.627,-2.258
20230829,ITU,summer23,ITU4,shade low,-1.921,-1.651
20230829,ITU,summer23,ITU5,shade low,-2.27,-3.237
20230829,ITU,summer23,ITU6,shade low,-2.1,-2.076
20230830,BER,summer23,BER1,shade low,NA,NA
20230830,BER,summer23,BER2,shade low,NA,NA
20230830,BER,summer23,BER3,shade low,NA,NA
20230830,BER,summer23,BER4,shade low,NA,NA
20230830,BER,summer23,BER5,shade low,NA,NA
20230830,BER,summer23,BER6,shade low,NA,NA
20230831,ART,summer23,ART1,shade low,-1.79,-1.699
20230831,ART,summer23,ART2,shade low,-1.916,-2.08
20230831,ART,summer23,ART3,shade low,-1.584,-2.242
20230831,ART,summer23,ART4,shade low,-2.328,-2.321
20230831,ART,summer23,ART6,shade low,-2.367,-2.505
20230901,DIU,summer23,DIU1,shade low,-2.4,-2.28
20230901,DIU,summer23,DIU2,shade low,-2.518,-2.717
20230901,DIU,summer23,DIU3,shade low,-2.261,-2.582
20230901,DIU,summer23,DIU4,shade low,-2.118,-2.931
20230901,DIU,summer23,DIU5,shade low,-2.443,-2.458
20230901,DIU,summer23,DIU6,shade low,-2.732,-2.071
20230531,MSA,spring23,MSA1,shade low,NA,NA
20230530,MSA,spring23,MSA2,shade low,NA,NA
20230531,MSA,spring23,MSA3,shade low,NA,NA
20230601,MSA,spring23,MSA4,shade low,NA,NA
20230531,MSA,spring23,MSA5,shade low,NA,NA
20230601,MSA,spring23,MSA6,shade low,NA,NA
20230823,MSA,summer23,MSA1,shade low,NA,NA
20230822,MSA,summer23,MSA2,shade low,NA,NA
20230823,MSA,summer23,MSA3,shade low,NA,NA
20230824,MSA,summer23,MSA5,shade low,NA,NA
20230824,MSA,summer23,MSA6,shade low,NA,NA
20230823,MSA,summer23,MSA1,shade low,NA,NA
20230822,MSA,summer23,MSA2,shade low,NA,NA
20230823,MSA,summer23,MSA3,shade low,NA,NA
20230904,MSA,summer23b,MSA1,shade low,NA,NA
20230904,MSA,summer23b,MSA2,shade low,NA,NA
20230904,MSA,summer23b,MSA3,shade low,NA,NA
20230904,MSA,summer23b,MSA4,shade low,NA,NA
20230904,MSA,summer23b,MSA5,shade low,NA,NA
20230904,MSA,summer23b,MSA6,shade low,NA,NA
