date,hour_midday,season,id_plant,light_exposure,branch_height_m,wp_predawn_1,wp_predawn_2,wp_midday_1,wp_midday_2
20230531,00:00,spring,1,shade low,3,-0.4,NA,-1.85,NA
20230531,00:00,spring,2,shade low,3,-0.15,NA,-1.45,NA
20230531,00:00,spring,3,shade low,3,-0.33,NA,-1.9,NA
20230601,14:40,spring,4,shade low,3,0.09,NA,-1.74,NA
20230531,00:00,spring,5,shade low,3,-0.39,NA,-1.57,NA
20230601,13:55,spring,6,shade low,3,-0.21,NA,-2.06,NA
20230531,00:00,spring,1,shade,8,-0.4,NA,-1.47,NA
20230530,00:00,spring,2,shade,9.2,-0.15,NA,-1.85,NA
20230531,00:00,spring,3,shade,5.7,-0.33,NA,-1.97,NA
20230601,15:00,spring,4,shade,7.3,0.09,NA,-1.21,NA
20230531,00:00,spring,5,shade,7.3,-0.39,NA,-1.61,NA
20230601,13:00,spring,6,shade,8,-0.21,NA,-2.1,NA
20230531,00:00,spring,1,sun,10.3,-0.4,NA,-1.64,NA
20230530,13:40,spring,2,sun,11,-0.15,NA,-1.74,NA
20230530,00:00,spring,3,sun,11,-0.33,NA,-1.32,NA
20230601,14:20,spring,4,sun,12.9,0.09,NA,-1.63,NA
20230531,00:00,spring,5,sun,12.3,-0.39,NA,-1.53,NA
20230601,00:00,spring,6,sun,12.9,-0.21,NA,-1.53,NA
20230823,12:02,summer,1,shade low,3,-0.38,-0.39,-2.29,NA
20230822,12:26,summer,2,shade low,3,-1.07,-0.98,-2.39,NA
20230823,09:48,summer,3,shade low,3,-1.03,-0.94,-2.15,NA
20230824,10:09,summer,5,shade low,3,-0.7,-0.83,-2.05,NA
20230824,13:15,summer,6,shade low,3,-0.8,-0.91,NA,NA
20230823,15:30,summer,1,shade,7.95,-0.38,-0.39,-2.64,NA
20230822,14:55,summer,2,shade,6.75,-1.07,-0.98,-2.06,NA
20230823,12:52,summer,3,shade,8.7,-1.03,-0.94,-2.16,-2.12
20230824,12:15,summer,5,shade,6,-0.7,-0.83,-3.2,NA
20230824,13:42,summer,6,shade,5.9,-0.8,-0.91,-3.5,NA
20230823,14:30,summer,1,sun,10.4,-0.38,-0.39,-3.24,-3.6
20230822,13:40,summer,2,sun,10.3,-1.07,-0.98,-2.25,NA
20230823,10:15,summer,3,sun,10.3,-1.03,-0.94,-1.81,NA
20230824,11:52,summer,5,sun,9.4,-0.7,-0.83,NA,NA
20230824,13:30,summer,6,sun,7.6,-0.8,-0.91,NA,NA
20230904,11:20,late_summer,1,shade low,3,NA,NA,-1.82,-1.9
20230904,11:20,late_summer,2,shade low,3,NA,NA,-2.46,-2.36
20230904,11:20,late_summer,3,shade low,3,NA,NA,-2.92,-2.92
20230904,11:20,late_summer,4,shade low,3,NA,NA,-2.56,-2.99
20230904,11:20,late_summer,5,shade low,3,NA,NA,-2.68,-2.47
20230904,11:20,late_summer,6,shade low,3,NA,NA,-2.96,-3.01
